26/May/2019:17:26:59 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,146,169,200
26/May/2019:17:26:59 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,224,175,200
26/May/2019:17:26:59 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,155,1070,200
26/May/2019:17:26:59 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,195,171,200
26/May/2019:17:26:59 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,161,189680,200
26/May/2019:17:26:59 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,4270,200
26/May/2019:17:26:59 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,165,8371,200
26/May/2019:17:26:59 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,2218,200
26/May/2019:17:27:00 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,59442,200
26/May/2019:17:27:00 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,194,118705,200
26/May/2019:17:27:00 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,820594,200
26/May/2019:17:27:00 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,46,21857,200
26/May/2019:17:27:00 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,14,150,200
